brand,model_name,variant,price_inr,price_on_road_chennai,mileage_value,mileage_unit,tank_capacity_l,service_cost_per_year_avg,engine_cc_num,power_bhp,torque_nm,top_speed,ground_clearance_mm,boot_space_l,sunroof_yes,cruise_control_yes,adas_level_num,airbags_num,body_type,fuel_type,mileage,tank_capacity,service_cost_per_year,engine_cc,power,torque,transmission_type,drive_type,ground_clearance,seating_capacity,sunroof_moonroof,cruise_control,airbags,adas_levels,boot_space
Maruti Suzuki,Swift,LXi,688000,₹6.88 Lakh,24.8,kmpl,37.0,4250.0,1197.0,80.46,111.7,165 kmph,163.0,,0.0,1.0,0,6,Hatchback,Petrol,24.8 kmpl,37 litres,"₹3,500 - ₹5,000",1197 cc,80.46 bhp @ 5700 rpm,111.7 Nm @ 4300 rpm,5-Speed Manual,FWD,163 mm,5,No,Yes,"6 (Driver, Passenger, Side Front, Side Rear, Curtain)",Not Available (ADAS features not confirmed for India-spec),
Maruti Suzuki,Swift,VXi,782000,₹7.82 Lakh,24.8,kmpl,37.0,4250.0,1197.0,80.46,111.7,165 kmph,163.0,,0.0,1.0,0,6,Hatchback,Petrol,24.8 kmpl,37 litres,"₹3,500 - ₹5,000",1197 cc,80.46 bhp @ 5700 rpm,111.7 Nm @ 4300 rpm,5-Speed Manual,FWD,163 mm,5,No,Yes,"6 (Driver, Passenger, Side Front, Side Rear, Curtain)",Not Available (ADAS features not confirmed for India-spec),
Maruti Suzuki,Swift,VXi AMT,834000,₹8.34 Lakh,25.75,kmpl,37.0,4250.0,1197.0,80.46,111.7,170.5 kmph (estimated),163.0,,0.0,1.0,0,6,Hatchback,Petrol,25.75 kmpl,37 litres,"₹3,500 - ₹5,000",1197 cc,80.46 bhp @ 5700 rpm,111.7 Nm @ 4300 rpm,5-Speed AMT (Automated Manual),FWD,163 mm,5,No,Yes,"6 (Driver, Passenger, Side Front, Side Rear, Curtain)",Not Available (ADAS features not confirmed for India-spec),
Maruti Suzuki,Swift,ZXi,891000,₹8.91 Lakh,24.8,kmpl,37.0,4250.0,1197.0,80.46,111.7,165 kmph,163.0,,0.0,1.0,0,6,Hatchback,Petrol,24.8 kmpl,37 litres,"₹3,500 - ₹5,000",1197 cc,80.46 bhp @ 5700 rpm,111.7 Nm @ 4300 rpm,5-Speed Manual,FWD,163 mm,5,No,Yes,"6 (Driver, Passenger, Side Front, Side Rear, Curtain)",Not Available (ADAS features not confirmed for India-spec),
Maruti Suzuki,Swift,ZXi Plus,969000,₹9.69 Lakh,24.8,kmpl,37.0,4250.0,1197.0,80.46,111.7,165 kmph,163.0,,0.0,1.0,0,6,Hatchback,Petrol,24.8 kmpl,37 litres,"₹3,500 - ₹5,000",1197 cc,80.46 bhp @ 5700 rpm,111.7 Nm @ 4300 rpm,5-Speed Manual,FWD,163 mm,5,No,Yes,"6 (Driver, Passenger, Side Front, Side Rear, Curtain)",Not Available (ADAS features not confirmed for India-spec),
Maruti Suzuki,Swift,ZXi Plus AMT,1022000,₹10.22 Lakh,25.75,kmpl,37.0,4250.0,1197.0,80.46,111.7,170.5 kmph (estimated),163.0,,0.0,1.0,0,6,Hatchback,Petrol,25.75 kmpl,37 litres,"₹3,500 - ₹5,000",1197 cc,80.46 bhp @ 5700 rpm,111.7 Nm @ 4300 rpm,5-Speed AMT (Automated Manual),FWD,163 mm,5,No,Yes,"6 (Driver, Passenger, Side Front, Side Rear, Curtain)",Not Available (ADAS features not confirmed for India-spec),
Maruti Suzuki,Swift,ZXi Plus DT (Dual Tone),987000,₹9.87 Lakh,24.8,kmpl,37.0,4250.0,1197.0,80.46,111.7,165 kmph,163.0,,0.0,1.0,0,6,Hatchback,Petrol,24.8 kmpl,37 litres,"₹3,500 - ₹5,000",1197 cc,80.46 bhp @ 5700 rpm,111.7 Nm @ 4300 rpm,5-Speed Manual,FWD,163 mm,5,No,Yes,"6 (Driver, Passenger, Side Front, Side Rear, Curtain)",Not Available (ADAS features not confirmed for India-spec),
Maruti Suzuki,Swift,ZXi Plus AMT DT (Dual Tone),1039000,₹10.39 Lakh,25.75,kmpl,37.0,4250.0,1197.0,80.46,111.7,170.5 kmph (estimated),163.0,,0.0,1.0,0,6,Hatchback,Petrol,25.75 kmpl,37 litres,"₹3,500 - ₹5,000",1197 cc,80.46 bhp @ 5700 rpm,111.7 Nm @ 4300 rpm,5-Speed AMT (Automated Manual),FWD,163 mm,5,No,Yes,"6 (Driver, Passenger, Side Front, Side Rear, Curtain)",Not Available (ADAS features not confirmed for India-spec),
Maruti Suzuki,Dzire,LXi,713000,₹7.13 Lakh,24.79,kmpl,37.0,3750.0,1197.0,80.46,111.7,160 kmph,163.0,,0.0,1.0,0,6,Sedan,Petrol,24.79 kmpl,37 litres,"₹3,500 - ₹4,000",1197 cc,80.46 bhp @ 5700 rpm,111.7 Nm @ 4300 rpm,5-Speed Manual,FWD,163 mm,5,No,Yes,"6 (Driver, Passenger, Side Front, Side Rear, Curtain)",Not Available (Not confirmed for India-spec),
Maruti Suzuki,Dzire,VXi,815000,₹8.15 Lakh,24.79,kmpl,37.0,3750.0,1197.0,80.46,111.7,160 kmph,163.0,,0.0,1.0,0,6,Sedan,Petrol,24.79 kmpl,37 litres,"₹3,500 - ₹4,000",1197 cc,80.46 bhp @ 5700 rpm,111.7 Nm @ 4300 rpm,5-Speed Manual,FWD,163 mm,5,No,Yes,"6 (Driver, Passenger, Side Front, Side Rear, Curtain)",Not Available (Not confirmed for India-spec),
